datetime,temp,humidity,pressure,wind_speed,wind_dir,cloudcoverage,weather,description,icon
2020-03-31 12:00:00,5.6200000000000045,61,1030,2.09,347,51,Clouds,broken clouds,04d
2020-03-31 15:00:00,5.9500000000000455,60,1029,2.83,315,100,Clouds,overcast clouds,04d
2020-03-31 18:00:00,3.0200000000000387,75,1028,2.27,302,89,Clouds,overcast clouds,04n
2020-03-31 21:00:00,1.420000000000016,82,1028,1.9,258,0,Clear,clear sky,01n
2020-04-01 00:00:00,0.25,86,1026,3.21,245,0,Clear,clear sky,01n
2020-04-01 03:00:00,-0.5,89,1024,3.33,246,0,Clear,clear sky,01n
2020-04-01 06:00:00,0.5300000000000296,85,1023,4.25,247,0,Clear,clear sky,01d
2020-04-01 09:00:00,5.400000000000034,60,1021,4.74,254,14,Clouds,few clouds,02d
2020-04-01 12:00:00,8.470000000000027,52,1019,4.78,263,37,Clouds,scattered clouds,03d
2020-04-01 15:00:00,7.5400000000000205,57,1016,5.03,270,100,Clouds,overcast clouds,04d
2020-04-01 18:00:00,5.180000000000007,67,1016,3.51,250,90,Clouds,overcast clouds,04n
2020-04-01 21:00:00,4.090000000000032,76,1015,4.18,259,79,Clouds,broken clouds,04n
2020-04-02 00:00:00,3.1299999999999955,82,1015,3.94,267,86,Clouds,overcast clouds,04n
2020-04-02 03:00:00,2.080000000000041,84,1014,3.82,257,43,Clouds,scattered clouds,03n
2020-04-02 06:00:00,2.890000000000043,79,1013,4.51,252,66,Clouds,broken clouds,04d
2020-04-02 09:00:00,7.270000000000039,58,1012,5.36,257,14,Clouds,few clouds,02d
2020-04-02 12:00:00,8.79000000000002,52,1011,5.66,250,52,Clouds,broken clouds,04d
2020-04-02 15:00:00,8.510000000000048,53,1009,6.19,253,98,Clouds,overcast clouds,04d
2020-04-02 18:00:00,7.400000000000034,60,1007,5.57,246,99,Clouds,overcast clouds,04n
2020-04-02 21:00:00,7.1299999999999955,63,1007,6.46,251,100,Clouds,overcast clouds,04n
2020-04-03 00:00:00,6.07000000000005,72,1007,6.79,253,97,Clouds,overcast clouds,04n
2020-04-03 03:00:00,5.57000000000005,79,1007,6.12,285,98,Rain,light rain,10n
2020-04-03 06:00:00,4.5,70,1010,5.67,277,71,Clouds,broken clouds,04d
2020-04-03 09:00:00,7.420000000000016,56,1012,6.66,282,1,Clear,clear sky,01d
2020-04-03 12:00:00,9.439999999999998,48,1014,6.8,284,44,Rain,light rain,10d
2020-04-03 15:00:00,9.700000000000045,48,1014,6.24,288,89,Rain,light rain,10d
2020-04-03 18:00:00,6.8799999999999955,59,1017,3.96,290,81,Rain,light rain,10n
2020-04-03 21:00:00,4.53000000000003,67,1020,3.36,305,39,Clouds,scattered clouds,03n
2020-04-04 00:00:00,2.8100000000000023,76,1022,2.42,298,19,Clouds,few clouds,02n
2020-04-04 03:00:00,1.5300000000000296,84,1023,1.63,294,0,Clear,clear sky,01n
2020-04-04 06:00:00,2.5300000000000296,78,1026,0.93,276,0,Clear,clear sky,01d
2020-04-04 09:00:00,7.810000000000002,54,1027,0.8,206,0,Clear,clear sky,01d
2020-04-04 12:00:00,11.060000000000002,42,1027,0.82,186,6,Clear,clear sky,01d
2020-04-04 15:00:00,11.680000000000007,40,1026,1.31,147,0,Clear,clear sky,01d
2020-04-04 18:00:00,8.689999999999998,51,1026,2.74,119,0,Clear,clear sky,01n
2020-04-04 21:00:00,6.610000000000014,59,1028,3.89,112,0,Clear,clear sky,01n
2020-04-05 00:00:00,5.5,65,1027,4.17,131,5,Clear,clear sky,01n
2020-04-05 03:00:00,4.7000000000000455,69,1027,4.23,134,6,Clear,clear sky,01n
2020-04-05 06:00:00,5.510000000000048,65,1027,4.59,143,4,Clear,clear sky,01d
2020-04-05 09:00:00,11.590000000000032,47,1025,5.1,151,13,Clouds,few clouds,02d
